time,wave [m],stroke [m],stroke speed [m/s],angle [deg],angular_speed [deg/s],F_PTO [N],Energy [J]
0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
0.03,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.04,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.06,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.07,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.08,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.09,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.004,0.0,0.0,0.0,0.0,0.085,0.0
0.11,-0.004,0.0,0.0,0.0,0.0,0.279,0.0
0.12,-0.004,0.0,0.0,0.0,0.0,0.53,0.0
0.13,-0.004,0.0,0.001,0.0,0.0,0.799,0.0
0.14,-0.004,0.0,0.001,0.0,0.0,1.063,0.001
0.15,-0.004,0.0,0.001,0.0,0.0,1.31,0.001
0.16,-0.004,0.0,0.001,0.0,0.0,1.545,0.001
0.17,-0.004,0.0,0.001,0.0,0.0,1.775,0.001
0.18,-0.004,0.0,0.001,0.0,0.0,1.881,0.001
0.19,-0.004,0.0,0.001,0.0,0.0,2.006,0.001
0.2,-0.004,0.0,0.001,0.0,0.0,2.338,0.001
0.21,-0.004,0.0,0.001,0.0,0.0,2.983,0.002
0.22,-0.004,0.0,0.001,0.0,0.0,3.964,0.003
0.23,-0.004,0.0,0.001,0.0,0.0,5.224,0.005
0.24,-0.004,0.0,0.001,0.0,0.0,6.622,0.007
0.25,-0.004,0.0,0.001,0.0,0.0,7.959,0.009
0.26,-0.004,0.0,0.002,0.0,0.0,9.261,0.011
0.27,-0.004,0.0,0.002,0.0,0.0,10.563,0.013
0.28,-0.004,0.0,0.002,0.0,0.0,11.866,0.015
0.29,-0.004,0.0,0.002,0.0,0.0,13.168,0.018
0.3,-0.004,0.0,0.002,0.0,0.0,14.47,0.02
0.31,-0.004,0.0,0.002,0.0,0.0,15.772,0.023
0.32,-0.004,0.0,0.002,0.0,0.0,17.075,0.025
0.33,-0.004,0.0,0.002,0.0,0.0,18.459,0.029
0.34,-0.004,0.0,0.002,0.0,0.0,20.222,0.033
0.35,-0.003,0.0,0.003,0.0,0.0,22.237,0.038
0.36,-0.003,0.0,0.003,0.0,0.0,24.364,0.043
0.37,-0.003,0.0,0.003,0.0,0.0,26.506,0.049
0.38,-0.003,0.0,0.003,0.0,0.0,28.609,0.055
0.39,-0.003,0.0,0.003,0.0,0.0,30.662,0.06
0.4,-0.003,0.0,0.003,0.0,0.0,32.694,0.067
0.41,-0.003,0.001,0.003,0.0,0.0,34.647,0.073
0.42,-0.003,0.001,0.003,0.0,0.0,36.453,0.078
0.43,-0.003,0.001,0.003,0.0,0.0,38.463,0.085
0.44,-0.003,0.001,0.004,0.0,0.0,40.917,0.094
0.45,-0.002,0.001,0.004,0.0,0.0,43.919,0.104
0.46,-0.002,0.001,0.004,0.0,0.0,47.439,0.118
0.47,-0.002,0.001,0.004,0.0,0.0,51.316,0.132
0.48,-0.002,0.001,0.004,0.0,0.0,55.25,0.147
0.49,-0.002,0.001,0.004,0.0,0.0,59.046,0.163
0.5,-0.002,0.001,0.004,0.0,0.0,62.84,0.178
0.51,-0.002,0.001,0.004,0.0,0.0,66.634,0.194
0.52,-0.002,0.001,0.004,0.0,0.0,70.428,0.211
0.53,-0.001,0.001,0.004,0.0,0.0,74.222,0.228
0.54,-0.001,0.001,0.005,0.0,0.0,78.016,0.245
0.55,-0.001,0.001,0.005,0.0,0.0,81.81,0.263
0.56,-0.001,0.001,0.005,0.0,0.0,85.605,0.281
0.57,-0.001,0.001,0.005,0.0,0.0,89.702,0.301
0.58,-0.001,0.001,0.005,0.0,0.0,94.171,0.323
0.59,-0.0,0.001,0.005,0.0,0.0,98.835,0.346
0.6,-0.0,0.001,0.005,0.0,0.0,103.562,0.37
0.61,-0.0,0.001,0.005,0.0,0.0,108.27,0.395
0.62,0.0,0.001,0.005,0.0,0.0,112.922,0.42
0.63,0.0,0.001,0.005,0.0,0.0,117.529,0.444
0.64,0.0,0.002,0.006,0.0,0.0,122.137,0.47
0.65,0.001,0.002,0.006,0.0,0.0,126.607,0.494
0.66,0.001,0.002,0.006,0.0,0.0,131.105,0.52
0.67,0.001,0.002,0.006,0.0,0.0,135.851,0.547
0.68,0.001,0.002,0.006,0.0,0.0,140.972,0.576
0.69,0.001,0.002,0.006,0.0,0.0,146.493,0.608
0.7,0.001,0.002,0.006,0.0,0.0,152.343,0.643
0.71,0.001,0.002,0.006,0.0,0.0,158.356,0.678
0.72,0.002,0.002,0.006,0.0,0.0,164.292,0.714
0.73,0.002,0.002,0.006,0.0,0.0,170.19,0.749
0.74,0.002,0.002,0.006,0.0,0.0,176.087,0.785
0.75,0.002,0.002,0.006,0.0,0.0,181.985,0.821
0.76,0.002,0.002,0.006,0.0,0.0,187.882,0.857
0.77,0.002,0.002,0.006,0.0,0.0,193.78,0.893
0.78,0.003,0.002,0.006,0.0,0.0,199.677,0.93
0.79,0.003,0.002,0.006,0.0,0.0,205.574,0.966
0.8,0.003,0.002,0.006,0.0,0.0,211.504,1.003
0.81,0.003,0.003,0.006,0.0,0.0,217.573,1.041
0.82,0.003,0.003,0.006,0.0,0.0,223.734,1.079
0.83,0.003,0.003,0.006,0.0,0.0,229.936,1.117
0.84,0.004,0.003,0.006,0.0,0.0,236.143,1.156
0.85,0.004,0.003,0.006,0.0,0.0,242.335,1.194
0.86,0.004,0.003,0.006,0.0,0.0,248.509,1.232
0.87,0.004,0.003,0.006,0.0,0.0,254.676,1.27
0.88,0.004,0.003,0.006,0.0,0.0,260.879,1.307
0.89,0.004,0.003,0.006,0.0,0.0,267.118,1.345
0.9,0.004,0.003,0.006,0.0,0.0,273.306,1.382
0.91,0.004,0.003,0.006,0.0,0.0,279.386,1.418
0.92,0.005,0.003,0.006,0.0,0.0,285.333,1.453
0.93,0.005,0.003,0.006,0.0,0.0,291.154,1.487
0.94,0.005,0.003,0.006,0.0,0.0,296.889,1.52
0.95,0.005,0.003,0.006,0.0,0.0,302.612,1.553
0.96,0.005,0.003,0.006,0.0,0.0,308.368,1.585
0.97,0.005,0.003,0.005,0.0,0.0,314.124,1.617
0.98,0.005,0.004,0.005,0.0,0.0,319.88,1.648
0.99,0.005,0.004,0.005,0.0,0.0,325.636,1.678
1.0,0.005,0.004,0.005,0.0,0.0,331.392,1.708
1.01,0.005,0.004,0.005,0.0,0.0,337.148,1.738
1.02,0.006,0.004,0.005,0.0,0.0,342.905,1.766
1.03,0.006,0.004,0.005,0.0,0.0,348.659,1.794
1.04,0.006,0.004,0.005,0.0,0.0,354.135,1.82
1.05,0.006,0.004,0.005,0.0,0.0,359.276,1.844
1.06,0.006,0.004,0.004,0.0,0.0,364.244,1.866
1.07,0.006,0.004,0.004,0.0,0.0,369.156,1.887
1.08,0.006,0.004,0.004,0.0,0.0,374.086,1.907
1.09,0.006,0.004,0.004,0.0,0.0,379.066,1.927
1.1,0.006,0.004,0.004,0.0,0.0,384.087,1.946
1.11,0.006,0.004,0.004,0.0,0.0,389.12,1.964
1.12,0.006,0.004,0.003,0.0,0.0,394.459,1.983
1.13,0.006,0.004,0.003,0.0,0.0,399.733,2.0
1.14,0.006,0.004,0.003,0.0,0.0,404.489,2.015
1.15,0.006,0.004,0.003,0.0,0.0,408.473,2.026
1.16,0.006,0.004,0.003,0.0,0.0,411.633,2.035
1.17,0.006,0.004,0.002,0.0,0.0,414.117,2.041
1.18,0.006,0.004,0.002,0.0,0.0,416.276,2.046
1.19,0.006,0.004,0.002,0.0,0.0,418.595,2.051
1.2,0.006,0.004,0.002,0.0,0.0,420.991,2.055
1.21,0.006,0.004,0.002,0.0,0.0,423.387,2.059
1.22,0.006,0.004,0.001,0.0,0.0,425.784,2.063
1.23,0.006,0.004,0.001,0.0,0.0,428.18,2.066
1.24,0.006,0.004,0.001,0.0,0.0,430.576,2.068
1.25,0.006,0.004,0.001,0.0,0.0,432.972,2.07
1.26,0.006,0.004,0.0,0.0,0.0,435.369,2.071
1.27,0.006,0.004,0.0,0.0,0.0,437.556,2.071
1.28,0.006,0.004,-0.0,0.0,0.0,438.864,2.072
1.29,0.006,0.004,-0.0,0.0,0.0,439.6,2.071
1.3,0.006,0.004,-0.001,0.0,0.0,440.085,2.071
1.31,0.006,0.004,-0.001,0.0,0.0,440.541,2.071
1.32,0.005,0.004,-0.001,0.0,0.0,441.089,2.07
1.33,0.005,0.004,-0.001,0.0,0.0,441.754,2.069
1.34,0.005,0.004,-0.002,0.0,0.0,442.461,2.068
1.35,0.005,0.004,-0.002,0.0,0.0,443.372,2.066
1.36,0.005,0.004,-0.002,0.0,0.0,444.608,2.063
1.37,0.005,0.004,-0.002,0.0,0.0,445.345,2.061
1.38,0.005,0.004,-0.003,0.0,0.0,445.031,2.063
1.39,0.005,0.004,-0.003,0.0,0.0,443.431,2.068
1.4,0.005,0.004,-0.003,0.0,0.0,440.622,2.077
1.41,0.005,0.004,-0.004,0.0,0.0,436.997,2.089
1.42,0.004,0.004,-0.004,0.0,0.0,433.26,2.103
1.43,0.004,0.004,-0.004,0.0,0.0,429.841,2.116
1.44,0.004,0.004,-0.004,0.0,0.0,426.424,2.131
1.45,0.004,0.004,-0.005,0.0,0.0,423.007,2.146
1.46,0.004,0.004,-0.005,0.0,0.0,419.589,2.162
1.47,0.004,0.004,-0.005,0.0,0.0,416.172,2.179
1.48,0.004,0.004,-0.005,0.0,0.0,412.755,2.197
1.49,0.004,0.004,-0.006,0.0,0.0,409.338,2.216
1.5,0.003,0.004,-0.006,0.0,0.0,405.912,2.236
1.51,0.003,0.004,-0.006,0.0,0.0,401.706,2.262
1.52,0.003,0.004,-0.006,0.0,0.0,396.585,2.295
1.53,0.003,0.004,-0.007,0.0,0.0,390.989,2.332
1.54,0.003,0.004,-0.007,0.0,0.0,385.242,2.371
1.55,0.003,0.003,-0.007,0.0,0.0,379.548,2.411
1.56,0.002,0.003,-0.007,0.0,0.0,373.995,2.452
1.57,0.002,0.003,-0.008,0.0,0.0,368.551,2.493
1.58,0.002,0.003,-0.008,0.0,0.0,363.112,2.536
1.59,0.002,0.003,-0.008,0.0,0.0,358.104,2.576
1.6,0.002,0.003,-0.008,0.0,0.0,352.99,2.618
1.61,0.002,0.003,-0.009,0.0,0.0,347.109,2.669
1.62,0.002,0.003,-0.009,0.0,0.0,340.096,2.731
1.63,0.001,0.003,-0.009,0.0,0.0,331.877,2.805
1.64,0.001,0.003,-0.009,0.0,0.0,322.675,2.89
1.65,0.001,0.003,-0.01,0.0,0.0,313.006,2.981
1.66,0.001,0.003,-0.01,0.0,0.0,303.577,3.071
1.67,0.001,0.002,-0.01,0.0,0.0,294.258,3.163
1.68,0.0,0.002,-0.01,0.0,0.0,284.938,3.256
1.69,0.0,0.002,-0.01,0.0,0.0,275.619,3.351
1.7,0.0,0.002,-0.01,0.0,0.0,266.299,3.448
1.71,-0.0,0.002,-0.011,0.0,0.0,256.979,3.547
1.72,-0.0,0.002,-0.011,0.0,0.0,247.66,3.647
1.73,-0.0,0.002,-0.011,0.0,0.0,238.34,3.748
1.74,-0.001,0.002,-0.011,0.0,0.0,228.836,3.854
1.75,-0.001,0.002,-0.011,0.0,0.0,218.587,3.969
1.76,-0.001,0.001,-0.011,0.0,0.0,207.861,4.09
1.77,-0.001,0.001,-0.012,0.0,0.0,196.926,4.216
1.78,-0.001,0.001,-0.012,0.0,0.0,185.968,4.343
1.79,-0.001,0.001,-0.012,0.0,0.0,175.089,4.471
1.8,-0.001,0.001,-0.012,0.0,0.0,164.308,4.598
1.81,-0.002,0.001,-0.012,0.0,0.0,153.561,4.727
1.82,-0.002,0.001,-0.012,0.0,0.0,142.873,4.856
1.83,-0.002,0.001,-0.012,0.0,0.0,132.311,4.984
1.84,-0.002,0.001,-0.012,0.0,0.0,121.543,5.115
1.85,-0.002,0.0,-0.012,0.0,0.0,110.349,5.252
1.86,-0.002,0.0,-0.012,0.0,0.0,98.636,5.397
1.87,-0.003,0.0,-0.012,0.0,0.0,86.437,5.548
1.88,-0.003,0.0,-0.012,0.0,0.0,73.912,5.704
1.89,-0.003,-0.0,-0.012,0.0,0.0,61.348,5.86
1.9,-0.003,-0.0,-0.012,0.0,0.0,48.91,6.016
1.91,-0.003,-0.0,-0.013,0.0,0.0,36.472,6.171
1.92,-0.003,-0.0,-0.013,0.0,0.0,24.034,6.327
1.93,-0.003,-0.001,-0.012,0.0,0.0,11.596,6.482
1.94,-0.003,-0.001,-0.012,0.0,0.0,-0.841,6.638
1.95,-0.003,-0.001,-0.012,0.0,0.0,-13.279,6.793
1.96,-0.004,-0.001,-0.012,0.0,0.0,-25.717,6.947
1.97,-0.004,-0.001,-0.012,0.0,0.0,-38.093,7.101
1.98,-0.004,-0.001,-0.012,0.0,0.0,-45.753,7.196
1.99,-0.004,-0.001,-0.011,0.0,0.0,-48.031,7.224
2.0,-0.004,-0.001,-0.01,0.0,0.0,-47.533,7.218
2.01,-0.004,-0.002,-0.009,0.0,0.0,-46.161,7.201
2.02,-0.004,-0.002,-0.008,0.0,0.0,-45.12,7.188
2.03,-0.004,-0.002,-0.007,0.0,0.0,-44.912,7.185
2.04,-0.004,-0.002,-0.006,0.0,0.0,-45.34,7.191
2.05,-0.004,-0.002,-0.006,0.0,0.0,-45.565,7.193
2.06,-0.004,-0.002,-0.005,0.0,0.0,-45.565,7.193
2.07,-0.004,-0.002,-0.005,0.0,0.0,-45.565,7.193
2.08,-0.004,-0.002,-0.004,0.0,0.0,-45.565,7.193
2.09,-0.004,-0.002,-0.004,0.0,0.0,-45.565,7.193
2.1,-0.005,-0.002,-0.004,0.0,0.0,-45.565,7.193
2.11,-0.005,-0.002,-0.003,0.0,0.0,-45.565,7.193
2.12,-0.005,-0.002,-0.003,0.0,0.0,-45.565,7.193
2.13,-0.005,-0.002,-0.003,0.0,0.0,-45.565,7.193
2.14,-0.005,-0.002,-0.002,0.0,0.0,-45.565,7.193
2.15,-0.005,-0.002,-0.002,0.0,0.0,-45.565,7.193
2.16,-0.005,-0.002,-0.002,0.0,0.0,-45.565,7.193
2.17,-0.005,-0.002,-0.002,0.0,0.0,-45.565,7.193
2.18,-0.005,-0.002,-0.002,0.0,0.0,-45.565,7.193
2.19,-0.005,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.2,-0.005,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.21,-0.005,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.22,-0.004,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.23,-0.004,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.24,-0.004,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.25,-0.004,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.26,-0.004,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.27,-0.004,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.28,-0.004,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.29,-0.004,-0.002,-0.001,0.0,0.0,-45.565,7.193
2.3,-0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.31,-0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.32,-0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.33,-0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.34,-0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.35,-0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.36,-0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.37,-0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.38,-0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.39,-0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.4,-0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.41,-0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.42,-0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.43,-0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.44,-0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.45,-0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.46,-0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.47,-0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.48,-0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.49,-0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.5,-0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.51,-0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.52,-0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.53,-0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.54,-0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.55,-0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.56,-0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.57,-0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.58,-0.0,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.59,-0.0,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.6,-0.0,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.61,0.0,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.62,0.0,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.63,0.0,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.64,0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.65,0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.66,0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.67,0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.68,0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.69,0.001,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.7,0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.71,0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.72,0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.73,0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.74,0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.75,0.002,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.76,0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.77,0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.78,0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.79,0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.8,0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.81,0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.82,0.003,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.83,0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.84,0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.85,0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.86,0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.87,0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.88,0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.89,0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.9,0.004,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.91,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.92,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.93,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.94,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.95,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.96,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.97,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.98,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
2.99,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.0,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.01,0.005,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.02,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.03,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.04,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.05,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.06,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.07,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.08,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.09,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.1,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.11,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.12,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.13,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.14,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.15,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.16,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.17,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.18,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.19,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.2,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.21,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.22,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.23,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.24,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.25,0.006,-0.002,-0.0,0.0,0.0,-45.565,7.193
3.26,0.005,-0.002,0.0,0.0,0.0,-45.565,7.193
3.27,0.005,-0.002,0.0,0.0,0.0,-45.565,7.193
3.28,0.005,-0.002,0.0,0.0,0.0,-45.565,7.193
3.29,0.005,-0.002,0.0,0.0,0.0,-45.565,7.193
3.3,0.005,-0.002,0.001,0.0,0.0,-45.565,7.193
3.31,0.005,-0.002,0.001,0.0,0.0,-45.565,7.193
3.32,0.005,-0.002,0.001,0.0,0.0,-45.565,7.193
3.33,0.005,-0.002,0.001,0.0,0.0,-45.565,7.193
3.34,0.005,-0.002,0.001,0.0,0.0,-45.565,7.193
3.35,0.005,-0.002,0.002,0.0,0.0,-45.565,7.193
3.36,0.005,-0.002,0.002,0.0,0.0,-45.565,7.193
3.37,0.004,-0.002,0.002,0.0,0.0,-45.566,7.193
3.38,0.004,-0.002,0.002,0.0,0.0,-45.549,7.193
3.39,0.004,-0.002,0.002,0.0,0.0,-44.841,7.195
3.4,0.004,-0.002,0.002,0.0,0.0,-43.399,7.198
3.41,0.004,-0.002,0.003,0.0,0.0,-41.583,7.203
3.42,0.004,-0.002,0.003,0.0,0.0,-39.656,7.208
3.43,0.004,-0.002,0.003,0.0,0.0,-37.779,7.213
3.44,0.004,-0.002,0.003,0.0,0.0,-36.02,7.218
3.45,0.003,-0.002,0.003,0.0,0.0,-34.346,7.223
3.46,0.003,-0.002,0.003,0.0,0.0,-32.675,7.228
3.47,0.003,-0.002,0.003,0.0,0.0,-31.279,7.233
3.48,0.003,-0.002,0.004,0.0,0.0,-29.784,7.238
3.49,0.003,-0.002,0.004,0.0,0.0,-27.774,7.246
3.5,0.003,-0.002,0.004,0.0,0.0,-25.023,7.256
3.51,0.003,-0.002,0.004,0.0,0.0,-21.494,7.271
3.52,0.002,-0.002,0.004,0.0,0.0,-17.344,7.288
3.53,0.002,-0.002,0.004,0.0,0.0,-12.917,7.307
3.54,0.002,-0.002,0.005,0.0,0.0,-8.661,7.325
3.55,0.002,-0.002,0.005,0.0,0.0,-4.464,7.345
3.56,0.002,-0.002,0.005,0.0,0.0,-0.266,7.364
3.57,0.002,-0.002,0.005,0.0,0.0,3.932,7.385
3.58,0.001,-0.002,0.005,0.0,0.0,8.129,7.406
3.59,0.001,-0.002,0.005,0.0,0.0,12.327,7.428
3.6,0.001,-0.001,0.005,0.0,0.0,16.524,7.45
3.61,0.001,-0.001,0.006,0.0,0.0,20.722,7.473
3.62,0.001,-0.001,0.006,0.0,0.0,25.089,7.497
3.63,0.001,-0.001,0.006,0.0,0.0,30.029,7.526
3.64,0.001,-0.001,0.006,0.0,0.0,35.322,7.557
3.65,0.0,-0.001,0.006,0.0,0.0,40.765,7.589
3.66,0.0,-0.001,0.006,0.0,0.0,46.22,7.623
3.67,0.0,-0.001,0.006,0.0,0.0,51.611,7.657
3.68,-0.0,-0.001,0.007,0.0,0.0,56.928,7.691
3.69,-0.0,-0.001,0.007,0.0,0.0,62.223,7.726
3.7,-0.0,-0.001,0.007,0.0,0.0,67.386,7.761
3.71,-0.0,-0.001,0.007,0.0,0.0,72.396,7.795
3.72,-0.001,-0.001,0.007,0.0,0.0,77.714,7.832
3.73,-0.001,-0.001,0.007,0.0,0.0,83.635,7.875
3.74,-0.001,-0.001,0.007,0.0,0.0,90.278,7.924
3.75,-0.001,-0.001,0.008,0.0,0.0,97.588,7.979
3.76,-0.001,-0.0,0.008,0.0,0.0,105.331,8.037
3.77,-0.001,-0.0,0.008,0.0,0.0,113.101,8.098
3.78,-0.001,-0.0,0.008,0.0,0.0,120.707,8.158
3.79,-0.001,-0.0,0.008,0.0,0.0,128.314,8.219
3.8,-0.002,-0.0,0.008,0.0,0.0,135.921,8.282
3.81,-0.002,-0.0,0.008,0.0,0.0,143.527,8.346
3.82,-0.002,0.0,0.009,0.0,0.0,151.134,8.411
3.83,-0.002,0.0,0.009,0.0,0.0,158.741,8.477
3.84,-0.002,0.0,0.009,0.0,0.0,166.347,8.545
3.85,-0.002,0.0,0.009,0.0,0.0,173.967,8.613
3.86,-0.002,0.0,0.009,0.0,0.0,182.082,8.688
3.87,-0.002,0.001,0.009,0.0,0.0,190.709,8.769
3.88,-0.002,0.001,0.01,0.0,0.0,199.595,8.854
3.89,-0.002,0.001,0.01,0.0,0.0,208.558,8.941
3.9,-0.002,0.001,0.01,0.0,0.0,217.484,9.029
3.91,-0.002,0.001,0.01,0.0,0.0,226.327,9.118
3.92,-0.002,0.001,0.01,0.0,0.0,235.111,9.208
3.93,-0.003,0.001,0.011,0.0,0.0,243.874,9.299
3.94,-0.003,0.001,0.011,0.0,0.0,252.305,9.389
3.95,-0.003,0.001,0.011,0.0,0.0,260.859,9.481
3.96,-0.003,0.001,0.011,0.0,0.0,270.016,9.582
3.97,-0.003,0.002,0.011,0.0,0.0,280.035,9.694
3.98,-0.003,0.002,0.011,0.0,0.0,290.954,9.819
3.99,-0.003,0.002,0.012,0.0,0.0,302.59,9.954
4.0,-0.003,0.002,0.012,0.0,0.0,314.539,10.095
4.01,-0.003,0.002,0.012,0.0,0.0,326.286,10.236
4.02,-0.003,0.002,0.012,0.0,0.0,337.968,10.379
4.03,-0.002,0.002,0.013,0.0,0.0,349.651,10.524
4.04,-0.002,0.002,0.013,0.0,0.0,361.334,10.672
4.05,-0.002,0.003,0.013,0.0,0.0,373.016,10.823
4.06,-0.002,0.003,0.013,0.0,0.0,384.699,10.976
4.07,-0.002,0.003,0.013,0.0,0.0,396.381,11.132
4.08,-0.002,0.003,0.014,0.0,0.0,408.064,11.29
4.09,-0.002,0.003,0.014,0.0,0.0,420.012,11.456
4.1,-0.002,0.003,0.014,0.0,0.0,432.823,11.636
4.11,-0.002,0.003,0.014,0.0,0.0,446.16,11.827
