diffraction force,&omega;=0.1 rad/m,&omega;=2.31 rad/m,&omega;=4.52 rad/m,&omega;=6.73 rad/m,&omega;=8.94 rad/m,&omega;=11.16 rad/m,&omega;=13.37 rad/m,&omega;=15.58 rad/m,&omega;=17.79 rad/m,&omega;=20.0 rad/m
-0.15,-0.0,-0.0,-10.0,-109.0,-366.0,-554.0,-472.0,-305.0,-208.0,-143.0
-0.11249999999999999,-0.0,-23048.0,-1194819.0,-11901680.0,-59357659.0,-201505827.0,-534718763.0,-939541584.0,-1421522086.0,-1895855538.0
-0.075,-0.0,-205241.0,-10592607.0,-105363135.0,-525530525.0,-1254039607.0,-2231243248.0,-3140259433.0,-3569646782.0,-3244329463.0
-0.037500000000000006,-0.0,-1006692.0,-51837061.0,-515182373.0,-2568955824.0,-6130283540.0,-10908877064.0,-15353133418.0,-17452469179.0,-15861952830.0
0.0,-0.0,-1962260.0,-100970501.0,-1003224450.0,-3149781701.0,-6193391987.0,-8423718187.0,-7942429006.0,-4622586153.0,-1025711994.0
0.037500000000000006,-0.0,-4078343.0,-209696844.0,-2082876114.0,-6538565837.0,-12855637002.0,-17484701621.0,-16485909877.0,-9595033119.0,-2129058663.0
0.07499999999999998,-0.0,-5768208.0,-296466868.0,-2944262032.0,-9241821445.0,-18169438795.0,-24711098532.0,-23300154398.0,-13561145246.0,-3009116229.0
0.11250000000000002,-0.0,-8473031.0,-435288926.0,-4322149557.0,-13565680643.0,-26667906814.0,-36266502825.0,-34194493686.0,-19902183837.0,-4416145899.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
